,build_existing_model.census_division,case_name,case,outcome,energy_mbtu,division_total,division_share,share_type
51,East North Central,"Low-voltage
(HPWH and dryer only)",16,replacement,788.7984,233101.05831,0.003383933156369375,energy_weighted
52,East North Central,Low-voltage with Env.,13,management,11074.6134,233101.05831,0.047509923293749805,energy_weighted
53,East North Central,Low-voltage with Env.,13,no_management,26007.657,233101.05831,0.11157245354678974,energy_weighted
54,East North Central,Low-voltage with Env.,13,replacement,7622.02377,233101.05831,0.032698366216182106,energy_weighted
55,East North Central,Low-voltage with Env.,13,smart_panel,85.96823,233101.05831,0.0003688024010842167,energy_weighted
56,East North Central,"Low-voltage with Env.
(HPWH and dryer only)",18,management,1210.6884,233101.05831,0.005193834849046079,energy_weighted
57,East North Central,"Low-voltage with Env.
(HPWH and dryer only)",18,no_management,6226.3128,233101.05831,0.02671078735180883,energy_weighted
58,East North Central,"Low-voltage with Env.
(HPWH and dryer only)",18,replacement,5509.4798,233101.05831,0.0236355846684873,energy_weighted
59,East South Central,BAU,2,management,914.299,88291.00547,0.010355516908352182,energy_weighted
60,East South Central,BAU,2,no_management,6578.612,88291.00547,0.0745105570491585,energy_weighted
61,East South Central,BAU,2,replacement,845.651,88291.00547,0.009577997164018477,energy_weighted
62,East South Central,BAU,2,smart_panel,62.063,88291.00547,0.0007029368356337057,energy_weighted
63,East South Central,BAU with Env.,9,management,1380.635,88291.00547,0.015637323333792134,energy_weighted
64,East South Central,BAU with Env.,9,no_management,16964.244,88291.00547,0.1921401156289267,energy_weighted
65,East South Central,BAU with Env.,9,replacement,2011.272,88291.00547,0.022780032793752708,energy_weighted
66,East South Central,BAU with Env.,9,smart_panel,160.632,88291.00547,0.001819347272634475,energy_weighted
67,East South Central,BAU with HPWH,3,management,427.47,88291.00547,0.00484160303447046,energy_weighted
68,East South Central,BAU with HPWH,3,no_management,3767.186,88291.00547,0.042667834395430405,energy_weighted
69,East South Central,BAU with HPWH,3,replacement,377.035,88291.00547,0.004270367043538892,energy_weighted
70,East South Central,BAU with HPWH with Env.,10,management,133.105,88291.00547,0.0015075714597590252,energy_weighted
71,East South Central,BAU with HPWH with Env.,10,no_management,4326.071,88291.00547,0.04899786764202086,energy_weighted
72,East South Central,BAU with HPWH with Env.,10,replacement,331.498,88291.00547,0.0037546066922143975,energy_weighted
73,East South Central,"High Eff HP
with HPWH and Env.",12,management,1748.586,88291.00547,0.019804803339725743,energy_weighted
74,East South Central,"High Eff HP
with HPWH and Env.",12,no_management,5272.677,88291.00547,0.05971929951337544,energy_weighted
75,East South Central,"High Eff HP
with HPWH and Env.",12,replacement,307.581,88291.00547,0.003483718396485037,energy_weighted
76,East South Central,High Eff and Low-voltage,7,management,877.09838,88291.00547,0.009934175914420017,energy_weighted
77,East South Central,High Eff and Low-voltage,7,no_management,985.1788,88291.00547,0.011158314425751437,energy_weighted
78,East South Central,High Eff and Low-voltage,7,replacement,191.45,88291.00547,0.0021683975505868707,energy_weighted
79,East South Central,"High Eff and Low-voltage
with Env.",14,management,572.84584,88291.00547,0.0064881562617909545,energy_weighted
80,East South Central,"High Eff and Low-voltage
with Env.",14,no_management,1389.63818,88291.00547,0.01573929498936535,energy_weighted
81,East South Central,"High Eff and Low-voltage
with Env.",14,replacement,214.25104,88291.00547,0.002426646280212534,energy_weighted
82,East South Central,High Eff. HP,4,management,709.417,88291.00547,0.008034986080672166,energy_weighted
83,East South Central,High Eff. HP,4,no_management,1536.216,88291.00547,0.01739946206096819,energy_weighted
84,East South Central,High Eff. HP,4,replacement,342.042,88291.00547,0.0038740299555906728,energy_weighted
85,East South Central,"High Eff. HP
 With HPWH",5,management,2948.226,88291.00547,0.03339214435610618,energy_weighted
86,East South Central,"High Eff. HP
 With HPWH",5,no_management,7104.761,88291.00547,0.08046981640065357,energy_weighted
87,East South Central,"High Eff. HP
 With HPWH",5,replacement,464.272,88291.00547,0.005258429185719862,energy_weighted
88,East South Central,"High Eff. and Low-voltage
(HPWH and dryer only)",17,management,524.442,88291.00547,0.00593992555876145,energy_weighted
89,East South Central,"High Eff. and Low-voltage
(HPWH and dryer only)",17,no_management,759.739,88291.00547,0.008604942213033788,energy_weighted
90,East South Central,"High Eff. and Low-voltage
(HPWH and dryer only)",17,replacement,262.684,88291.00547,0.002975206801662897,energy_weighted
91,East South Central,"High Eff. and Low-voltage 
 with Env. (HPWH and dryer only)",19,management,443.555,88291.00547,0.005023784672502269,energy_weighted
92,East South Central,"High Eff. and Low-voltage 
 with Env. (HPWH and dryer only)",19,no_management,1105.021,88291.00547,0.012515668998417625,energy_weighted
93,East South Central,"High Eff. and Low-voltage 
 with Env. (HPWH and dryer only)",19,replacement,294.442,88291.00547,0.003334903690728124,energy_weighted
94,East South Central,High Efficiency HP with Env.,11,management,852.0070000000001,88291.00547,0.00964998637703248,energy_weighted
95,East South Central,High Efficiency HP with Env.,11,no_management,1756.293,88291.00547,0.01989209422466893,energy_weighted
96,East South Central,High Efficiency HP with Env.,11,replacement,422.198,88291.00547,0.004781891402782322,energy_weighted
97,East South Central,Inefficient,1,management,1405.603,88291.00547,0.015920115446840206,energy_weighted
98,East South Central,Inefficient,1,no_management,4545.203,88291.00547,0.051479796563698596,energy_weighted
99,East South Central,Inefficient,1,replacement,82.103,88291.00547,0.0009299135236136527,energy_weighted
100,East South Central,Inefficient,1,smart_panel,88.796,88291.00547,0.0010057196599734227,energy_weighted
101,East South Central,Low-voltage,6,management,454.55025,88291.00547,0.005148318875521806,energy_weighted
102,East South Central,Low-voltage,6,no_management,1211.50131,88291.00547,0.013721684372613138,energy_weighted
103,East South Central,Low-voltage,6,replacement,1029.88906,88291.00547,0.011664710969340374,energy_weighted
104,East South Central,"Low-voltage
(HPWH and dryer only)",16,no_management,933.095,88291.00547,0.010568403825880679,energy_weighted
105,East South Central,"Low-voltage
(HPWH and dryer only)",16,replacement,556.678,88291.00547,0.006305036362839373,energy_weighted
106,East South Central,Low-voltage with Env.,13,management,1251.27833,88291.00547,0.01417220614194009,energy_weighted
107,East South Central,Low-voltage with Env.,13,no_management,3449.46705,88291.00547,0.039069291731784375,energy_weighted
108,East South Central,Low-voltage with Env.,13,replacement,1162.33103,88291.00547,0.013164772830624782,energy_weighted
109,East South Central,"Low-voltage with Env.
(HPWH and dryer only)",18,management,157.43540000000002,88291.00547,0.0017831419991416258,energy_weighted
110,East South Central,"Low-voltage with Env.
(HPWH and dryer only)",18,no_management,1290.682,88291.00547,0.014618499281204301,energy_weighted
111,East South Central,"Low-voltage with Env.
(HPWH and dryer only)",18,replacement,1307.9988,88291.00547,0.014814632510266735,energy_weighted
112,Middle Atlantic,BAU,2,management,708.671,182356.41926,0.0038861861999472127,energy_weighted
113,Middle Atlantic,BAU,2,no_management,2453.397,182356.41926,0.01345385597038949,energy_weighted
114,Middle Atlantic,BAU,2,replacement,914.0,182356.41926,0.0050121624657305745,energy_weighted
115,Middle Atlantic,BAU,2,smart_panel,69.104,182356.41926,0.00037895019150092517,energy_weighted
116,Middle Atlantic,BAU with Env.,9,management,2912.5809999999997,182356.41926,0.01597191374901534,energy_weighted
117,Middle Atlantic,BAU with Env.,9,no_management,13277.986,182356.41926,0.07281337313971122,energy_weighted
118,Middle Atlantic,BAU with Env.,9,replacement,6211.929,182356.41926,0.03406476736715893,energy_weighted
119,Middle Atlantic,BAU with Env.,9,smart_panel,548.37,182356.41926,0.003007132966447128,energy_weighted
120,Middle Atlantic,BAU with HPWH,3,management,220.836,182356.41926,0.0012110130309431917,energy_weighted
121,Middle Atlantic,BAU with HPWH,3,no_management,244.44600000000003,182356.41926,0.0013404847550306084,energy_weighted
122,Middle Atlantic,BAU with HPWH,3,replacement,397.357,182356.41926,0.002179012955027685,energy_weighted
123,Middle Atlantic,BAU with HPWH with Env.,10,management,327.823,182356.41926,0.0017977047439859891,energy_weighted
124,Middle Atlantic,BAU with HPWH with Env.,10,no_management,1008.286,182356.41926,0.0055292048620586625,energy_weighted
125,Middle Atlantic,BAU with HPWH with Env.,10,replacement,2140.561,182356.41926,0.011738336433048911,energy_weighted
126,Middle Atlantic,"High Eff HP
with HPWH and Env.",12,management,150.261,182356.41926,0.0008239962191062821,energy_weighted
127,Middle Atlantic,"High Eff HP
with HPWH and Env.",12,no_management,1511.448,182356.41926,0.008288427718275215,energy_weighted
128,Middle Atlantic,"High Eff HP
with HPWH and Env.",12,replacement,1602.506,182356.41926,0.008787768516748402,energy_weighted
129,Middle Atlantic,"High Eff HP
with HPWH and Env.",12,smart_panel,100.034,182356.41926,0.0005485630854451776,energy_weighted
130,Middle Atlantic,High Eff and Low-voltage,7,management,1061.27422,182356.41926,0.005819779881106666,energy_weighted
131,Middle Atlantic,High Eff and Low-voltage,7,no_management,2142.44812,182356.41926,0.011748684958248396,energy_weighted
132,Middle Atlantic,High Eff and Low-voltage,7,replacement,592.15876,182356.41926,0.003247260296089234,energy_weighted
133,Middle Atlantic,"High Eff and Low-voltage
with Env.",14,management,9312.22935,182356.41926,0.051066090175431754,energy_weighted
134,Middle Atlantic,"High Eff and Low-voltage
with Env.",14,no_management,21619.89027,182356.41926,0.11855842726970203,energy_weighted
135,Middle Atlantic,"High Eff and Low-voltage
with Env.",14,replacement,3082.22449,182356.41926,0.01690219901502578,energy_weighted
136,Middle Atlantic,"High Eff and Low-voltage
with Env.",14,smart_panel,204.70972,182356.41926,0.001122580278943343,energy_weighted
137,Middle Atlantic,High Eff. HP,4,management,292.693,182356.41926,0.0016050600312714212,energy_weighted
138,Middle Atlantic,High Eff. HP,4,no_management,1262.999,182356.41926,0.006925991446449945,energy_weighted
139,Middle Atlantic,High Eff. HP,4,replacement,429.438,182356.41926,0.0023549376640682783,energy_weighted
140,Middle Atlantic,"High Eff. HP
 With HPWH",5,management,448.528,182356.41926,0.0024596227641457366,energy_weighted
141,Middle Atlantic,"High Eff. HP
 With HPWH",5,no_management,839.856,182356.41926,0.00460557409170527,energy_weighted
142,Middle Atlantic,"High Eff. HP
 With HPWH",5,replacement,199.135,182356.41926,0.0010920098168635207,energy_weighted
143,Middle Atlantic,"High Eff. and Low-voltage
(HPWH and dryer only)",17,management,105.21,182356.41926,0.0005769470601964045,energy_weighted
144,Middle Atlantic,"High Eff. and Low-voltage
(HPWH and dryer only)",17,no_management,379.594,182356.41926,0.0020816048129283717,energy_weighted
145,Middle Atlantic,"High Eff. and Low-voltage
(HPWH and dryer only)",17,replacement,281.3456,182356.41926,0.0015428335407204024,energy_weighted
146,Middle Atlantic,"High Eff. and Low-voltage 
 with Env. (HPWH and dryer only)",19,management,902.6412,182356.41926,0.004949873460242894,energy_weighted
147,Middle Atlantic,"High Eff. and Low-voltage 
 with Env. (HPWH and dryer only)",19,no_management,3435.899,182356.41926,0.018841667400263912,energy_weighted
148,Middle Atlantic,"High Eff. and Low-voltage 
 with Env. (HPWH and dryer only)",19,replacement,2922.4466,182356.41926,0.01602601439455354,energy_weighted
149,Middle Atlantic,"High Eff. and Low-voltage 
 with Env. (HPWH and dryer only)",19,smart_panel,54.691,182356.41926,0.00029991266675412565,energy_weighted
150,Middle Atlantic,High Efficiency HP with Env.,11,management,3171.6719999999996,182356.41926,0.01739270826259149,energy_weighted
151,Middle Atlantic,High Efficiency HP with Env.,11,no_management,6935.48,182356.41926,0.038032552010749544,energy_weighted
152,Middle Atlantic,High Efficiency HP with Env.,11,replacement,3307.829,182356.41926,0.018139361440760504,energy_weighted
153,Middle Atlantic,High Efficiency HP with Env.,11,smart_panel,249.788,182356.41926,0.0013697790349999001,energy_weighted
154,Middle Atlantic,Inefficient,1,management,8875.782,182356.41926,0.048672714873530684,energy_weighted
155,Middle Atlantic,Inefficient,1,no_management,13492.781,182356.41926,0.07399125873798977,energy_weighted
156,Middle Atlantic,Inefficient,1,replacement,3269.048,182356.41926,0.01792669549701488,energy_weighted
157,Middle Atlantic,Inefficient,1,smart_panel,1697.586,182356.41926,0.009309165023577357,energy_weighted
158,Middle Atlantic,Low-voltage,6,management,1987.95218,182356.41926,0.010901465317574695,energy_weighted
159,Middle Atlantic,Low-voltage,6,no_management,3778.34993,182356.41926,0.02071958829490344,energy_weighted
160,Middle Atlantic,Low-voltage,6,replacement,1220.83266,182356.41926,0.006694761089048158,energy_weighted
161,Middle Atlantic,Low-voltage,6,smart_panel,55.96545,182356.41926,0.00030690145280932296,energy_weighted
162,Middle Atlantic,"Low-voltage
(HPWH and dryer only)",16,management,134.072,182356.41926,0.0007352195252794634,energy_weighted
163,Middle Atlantic,"Low-voltage
(HPWH and dryer only)",16,no_management,482.0254,182356.41926,0.0026433146798783003,energy_weighted
164,Middle Atlantic,"Low-voltage
(HPWH and dryer only)",16,replacement,367.9452,182356.41926,0.002017725515192264,energy_weighted
165,Middle Atlantic,Low-voltage with Env.,13,management,12142.77689,182356.41926,0.06658815159496569,energy_weighted
166,Middle Atlantic,Low-voltage with Env.,13,no_management,21868.15567,182356.41926,0.11991985672202106,energy_weighted
167,Middle Atlantic,Low-voltage with Env.,13,replacement,5546.56575,182356.41926,0.03041607075039032,energy_weighted
168,Middle Atlantic,Low-voltage with Env.,13,smart_panel,69.637,182356.41926,0.0003818730389782057,energy_weighted
169,Middle Atlantic,"Low-voltage with Env.
(HPWH and dryer only)",18,management,1209.2338,182356.41926,0.006631155650604762,energy_weighted
170,Middle Atlantic,"Low-voltage with Env.
(HPWH and dryer only)",18,no_management,4227.156,182356.41926,0.023180735929964762,energy_weighted
171,Middle Atlantic,"Low-voltage with Env.
(HPWH and dryer only)",18,replacement,3824.501,182356.41926,0.02097266998068824,energy_weighted
172,Middle Atlantic,"Low-voltage with Env.
(HPWH and dryer only)",18,smart_panel,72.277,182356.41926,0.0003963501822052612,energy_weighted
173,Mountain,BAU,2,management,2453.2960000000003,101251.38011,0.024229753681724905,energy_weighted
174,Mountain,BAU,2,no_management,11325.958,101251.38011,0.11185978885122774,energy_weighted
175,Mountain,BAU,2,replacement,2249.186,101251.38011,0.02221387992495977,energy_weighted
176,Mountain,BAU,2,smart_panel,236.944,101251.38011,0.002340155756322362,energy_weighted
177,Mountain,BAU with Env.,9,management,2915.2940000000003,101251.38011,0.028792634696265973,energy_weighted
178,Mountain,BAU with Env.,9,no_management,12073.558,101251.38011,0.11924339191113473,energy_weighted
179,Mountain,BAU with Env.,9,replacement,2971.139,101251.38011,0.02934418273382684,energy_weighted
180,Mountain,BAU with Env.,9,smart_panel,271.229,101251.38011,0.002678768424739845,energy_weighted
181,Mountain,BAU with HPWH,3,management,51.705,101251.38011,0.0005106597060092162,energy_weighted
182,Mountain,BAU with HPWH,3,no_management,1432.302,101251.38011,0.014145999772486458,energy_weighted
183,Mountain,BAU with HPWH,3,replacement,386.399,101251.38011,0.0038162344017455786,energy_weighted
184,Mountain,BAU with HPWH with Env.,10,no_management,671.774,101251.38011,0.006634714502362154,energy_weighted
185,Mountain,BAU with HPWH with Env.,10,replacement,1345.245,101251.38011,0.013286189270097051,energy_weighted
186,Mountain,"High Eff HP
with HPWH and Env.",12,management,57.848,101251.38011,0.000571330483961341,energy_weighted
187,Mountain,"High Eff HP
with HPWH and Env.",12,no_management,1049.597,101251.38011,0.010366248824062571,energy_weighted
188,Mountain,"High Eff HP
with HPWH and Env.",12,replacement,130.825,101251.38011,0.0012920811534407833,energy_weighted
189,Mountain,High Eff and Low-voltage,7,management,215.566,101251.38011,0.002129017893541876,energy_weighted
190,Mountain,High Eff and Low-voltage,7,no_management,696.51629,101251.38011,0.006879079467788995,energy_weighted
191,Mountain,High Eff and Low-voltage,7,replacement,280.2722,101251.38011,0.0027680827628770188,energy_weighted
192,Mountain,"High Eff and Low-voltage
with Env.",14,management,824.05585,101251.38011,0.008138712273400536,energy_weighted
193,Mountain,"High Eff and Low-voltage
with Env.",14,no_management,1660.87371,101251.38011,0.01640346737195699,energy_weighted
194,Mountain,"High Eff and Low-voltage
with Env.",14,replacement,341.97903,101251.38011,0.0033775246285875048,energy_weighted
195,Mountain,High Eff. HP,4,management,723.475,101251.38011,0.007145334702737022,energy_weighted
196,Mountain,High Eff. HP,4,no_management,1177.6,101251.38011,0.011630458752469838,energy_weighted
197,Mountain,High Eff. HP,4,replacement,145.85500000000002,101251.38011,0.0014405235745087368,energy_weighted
198,Mountain,"High Eff. HP
 With HPWH",5,management,901.533,101251.38011,0.008903908262984367,energy_weighted
199,Mountain,"High Eff. HP
 With HPWH",5,no_management,2833.236,101251.38011,0.027982196360404752,energy_weighted
200,Mountain,"High Eff. HP
 With HPWH",5,replacement,101.332,101251.38011,0.0010007962349739077,energy_weighted
201,Mountain,"High Eff. and Low-voltage
(HPWH and dryer only)",17,management,543.793,101251.38011,0.00537072185494381,energy_weighted
202,Mountain,"High Eff. and Low-voltage
(HPWH and dryer only)",17,no_management,413.555,101251.38011,0.004084438153343805,energy_weighted
203,Mountain,"High Eff. and Low-voltage
(HPWH and dryer only)",17,replacement,249.139,101251.38011,0.002460598559045162,energy_weighted
204,Mountain,"High Eff. and Low-voltage 
 with Env. (HPWH and dryer only)",19,management,312.727,101251.38011,0.0030886196282979236,energy_weighted
205,Mountain,"High Eff. and Low-voltage 
 with Env. (HPWH and dryer only)",19,no_management,714.255,101251.38011,0.007054274215561603,energy_weighted
206,Mountain,"High Eff. and Low-voltage 
 with Env. (HPWH and dryer only)",19,replacement,231.30900000000003,101251.38011,0.0022845021939326138,energy_weighted
207,Mountain,High Efficiency HP with Env.,11,management,479.49300000000005,101251.38011,0.004735668782776852,energy_weighted
208,Mountain,High Efficiency HP with Env.,11,no_management,1398.135,101251.38011,0.013808552520282284,energy_weighted
209,Mountain,High Efficiency HP with Env.,11,replacement,408.926,101251.38011,0.004038720257992936,energy_weighted
210,Mountain,Inefficient,1,management,3199.816,101251.38011,0.03160269022035753,energy_weighted
211,Mountain,Inefficient,1,no_management,8621.017,101251.38011,0.08514468633053776,energy_weighted
212,Mountain,Inefficient,1,replacement,1195.339,101251.38011,0.011805656364400938,energy_weighted
213,Mountain,Inefficient,1,smart_panel,700.639,101251.38011,0.006919797036236171,energy_weighted
214,Mountain,Low-voltage,6,management,2375.46281,101251.38011,0.02346104129562763,energy_weighted
215,Mountain,Low-voltage,6,no_management,5888.37752,101251.38011,0.05815602230411909,energy_weighted
216,Mountain,Low-voltage,6,replacement,2094.49727,101251.38011,0.02068611082362065,energy_weighted
217,Mountain,"Low-voltage
(HPWH and dryer only)",16,management,128.912,101251.38011,0.0012731875838131726,energy_weighted
218,Mountain,"Low-voltage
(HPWH and dryer only)",16,no_management,1361.5436,101251.38011,0.013447160903098923,energy_weighted
219,Mountain,"Low-voltage
(HPWH and dryer only)",16,replacement,1461.1032,101251.38011,0.014430452191492603,energy_weighted
220,Mountain,Low-voltage with Env.,13,management,4107.53716,101251.38011,0.040567715279905825,energy_weighted
221,Mountain,Low-voltage with Env.,13,no_management,7605.90465,101251.38011,0.07511902199986714,energy_weighted
222,Mountain,Low-voltage with Env.,13,replacement,2577.13882,101251.38011,0.025452875972655224,energy_weighted
223,Mountain,"Low-voltage with Env.
(HPWH and dryer only)",18,management,922.6712,101251.38011,0.009112677762985605,energy_weighted
224,Mountain,"Low-voltage with Env.
(HPWH and dryer only)",18,no_management,2925.7036,101251.38011,0.0288954441590969,energy_weighted
225,Mountain,"Low-voltage with Env.
(HPWH and dryer only)",18,replacement,1777.9582,101251.38011,0.01755984163443913,energy_weighted
226,Mountain,"Low-voltage with Env.
(HPWH and dryer only)",18,smart_panel,31.834,101251.38011,0.00031440559096987506,energy_weighted
227,New England,BAU,2,management,86.759,62348.865529999995,0.001391508879311601,energy_weighted
228,New England,BAU,2,no_management,533.1179999999999,62348.865529999995,0.008550564560689288,energy_weighted
229,New England,BAU with Env.,9,management,327.109,62348.865529999995,0.0052464306642854164,energy_weighted
230,New England,BAU with Env.,9,no_management,3476.549,62348.865529999995,0.05575961920794231,energy_weighted
231,New England,BAU with Env.,9,replacement,1432.122,62348.865529999995,0.022969495720991353,energy_weighted
232,New England,BAU with Env.,9,smart_panel,101.819,62348.865529999995,0.0016330529695204865,energy_weighted
233,New England,BAU with HPWH,3,no_management,92.514,62348.865529999995,0.001483812082442553,energy_weighted
234,New England,BAU with HPWH,3,replacement,72.116,62348.865529999995,0.0011566529621184593,energy_weighted
235,New England,BAU with HPWH with Env.,10,management,120.428,62348.865529999995,0.0019315187048921435,energy_weighted
236,New England,BAU with HPWH with Env.,10,no_management,866.45,62348.865529999995,0.013896804579116134,energy_weighted
237,New England,BAU with HPWH with Env.,10,replacement,525.364,62348.865529999995,0.008426199827921714,energy_weighted
238,New England,"High Eff HP
with HPWH and Env.",12,management,241.786,62348.865529999995,0.0038779534790999754,energy_weighted
239,New England,"High Eff HP
with HPWH and Env.",12,no_management,1226.491,62348.865529999995,0.019671424485019014,energy_weighted
240,New England,"High Eff HP
with HPWH and Env.",12,replacement,810.003,62348.865529999995,0.012991463326790706,energy_weighted
241,New England,"High Eff HP
with HPWH and Env.",12,smart_panel,66.951,62348.865529999995,0.0010738126416716535,energy_weighted
242,New England,High Eff and Low-voltage,7,management,235.79334999999998,62348.865529999995,0.003781838658901417,energy_weighted
243,New England,High Eff and Low-voltage,7,no_management,1808.42371,62348.865529999995,0.029004917645692407,energy_weighted
244,New England,High Eff and Low-voltage,7,replacement,389.59827,62348.865529999995,0.006248682581281925,energy_weighted
245,New England,High Eff and Low-voltage,7,smart_panel,55.66,62348.865529999995,0.000892718729151831,energy_weighted
246,New England,"High Eff and Low-voltage
with Env.",14,management,3414.14437,62348.865529999995,0.05475872481364137,energy_weighted
247,New England,"High Eff and Low-voltage
with Env.",14,no_management,9751.90661,62348.865529999995,0.15640872575793283,energy_weighted
248,New England,"High Eff and Low-voltage
with Env.",14,replacement,2010.1726,62348.865529999995,0.03224072455709364,energy_weighted
249,New England,"High Eff and Low-voltage
with Env.",14,smart_panel,141.248,62348.865529999995,0.002265446192153033,energy_weighted
250,New England,High Eff. HP,4,no_management,906.608,62348.865529999995,0.014540890075438073,energy_weighted
251,New England,High Eff. HP,4,replacement,65.862,62348.865529999995,0.001056346405666509,energy_weighted
252,New England,"High Eff. HP
 With HPWH",5,no_management,61.387,62348.865529999995,0.0009845728463248914,energy_weighted
253,New England,"High Eff. HP
 With HPWH",5,replacement,159.161,62348.865529999995,0.0025527489337142397,energy_weighted
