End use,CDIV,AL,AZ,CA,CO,CT,DC,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,VA,VT,WA,WI,WV,AR,UT,WY,AK,HI
water heating,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
water heating,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1136363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0227272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0454545454545454,0.0,0.0,0,0
water heating,8,0.0,0.0120481927710843,0.0,0.3132530120481928,0.0,0.0,0.0,0.0,0.0,0.0,0.180722891566265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144578313253012,0.0,0.0,0.0,0.0,0.0,0.0,0.0963855421686747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.216867469879518,0.036144578313253,0,0
water heating,9,0.0,0.0,0.2735042735042735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2735042735042735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.452991452991453,0.0,0.0,0.0,0.0,0.0,0,0
misc,1,0.0,0.0,0.0,0.0,0.1764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.673202614379085,0.0,0.0065359477124183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0326797385620915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0849673202614379,0.0,0.0,0.0,0.0,0.0,0.0261437908496732,0.0,0.0,0.0,0.0,0.0,0.0,0,0
misc,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3352080989876265,0.0,0.0,0.3352080989876265,0.0,0.0,0.0,0.3295838020247469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
misc,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2980645161290322,0.1496774193548387,0.0,0.0,0.0,0.0,0.0,0.0,0.2129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2412903225806451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0980645161290322,0.0,0.0,0.0,0.0,0,0
misc,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1990049751243781,0.0,0.0,0.0,0.208955223880597,0.0,0.0,0.0,0.0,0.0,0.0,0.1840796019900497,0.3283582089552239,0.0,0.0,0.0,0.0049751243781094,0.0646766169154228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0099502487562189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
misc,5,0.0,0.0,0.0,0.0,0.0,0.003487358326068,0.020052310374891,0.3958151700087184,0.2371403661726242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067131647776809,0.0,0.0,0.0,0.0,0.0,0.0,0.085440278988666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06102877070619,0.0,0.0,0.0,0.0967741935483871,0.0,0.0,0.0,0.033129904097646,0.0,0.0,0.0,0,0
misc,6,0.2668711656441718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.263803680981595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1226993865030674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3466257668711656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
misc,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1040723981900452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1161387631975867,0.0,0.0,0.0,0.0,0.0,0.0,0.7315233785822021,0.0,0.0,0.0,0.0,0.0,0.0482654600301659,0.0,0.0,0,0
misc,8,0.0,0.5734024179620034,0.0,0.0362694300518134,0.0,0.0,0.0,0.0,0.0,0.0,0.0172711571675302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005181347150259,0.0,0.0,0.0,0.0,0.0,0.1088082901554404,0.231433506044905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0259067357512953,0.001727115716753,0,0
misc,9,0.0,0.0,0.9053030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0255681818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0691287878787878,0.0,0.0,0.0,0.0,0.0,0,0
